"№";"Название";"Username";"Тип";"Подписчики";"ER %";"Ср. охват";"Цена поста";"CPM";"Категория";"Ссылка Telegram";"Ссылка TGStat";"Описание"
"1288";"6 957";"InvisibleForce";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/InvisibleForce";"https://tgstat.ru/channel/@InvisibleForce";""
"1289";"6 952";"gostmarket";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/gostmarket";"https://tgstat.ru/channel/@gostmarket";""
"1290";"6 950";"postiumru";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/postiumru";"https://tgstat.ru/channel/@postiumru";""
"1291";"6 949";"LnGKDK_g4NwwNDQ6";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/LnGKDK_g4NwwNDQ6";"https://tgstat.ru/channel/LnGKDK_g4NwwNDQ6";""
"1292";"6 947";"dobrhr";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/dobrhr";"https://tgstat.ru/channel/@dobrhr";""
"1293";"6 936";"bizeks";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bizeks";"https://tgstat.ru/channel/@bizeks";""
"1294";"6 924";"sovetbezrynka1";"Канал";"N/A";"11 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sovetbezrynka1";"https://tgstat.ru/channel/@sovetbezrynka1";""
"1295";"6 920";"kK2oX_sXY_IxN2Yy";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kK2oX_sXY_IxN2Yy";"https://tgstat.ru/channel/kK2oX_sXY_IxN2Yy";""
"1296";"6 915";"sannikovaProBiznes";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sannikovaProBiznes";"https://tgstat.ru/channel/@sannikovaProBiznes";""
"1297";"6 914";"HSinvestremont";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/HSinvestremont";"https://tgstat.ru/channel/@HSinvestremont";""
"1298";"6 905";"startupfast";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/startupfast";"https://tgstat.ru/channel/@startupfast";""
"1299";"6 900";"Algo_Sliv_Group_ASG";"Канал";"N/A";"1 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Algo_Sliv_Group_ASG";"https://tgstat.ru/channel/@Algo_Sliv_Group_ASG";""
"1300";"6 896";"2zalnb706UplYzUy";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/2zalnb706UplYzUy";"https://tgstat.ru/channel/2zalnb706UplYzUy";""
"1301";"6 895";"fpcoach";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/fpcoach";"https://tgstat.ru/channel/@fpcoach";""
"1302";"6 893";"daystartup";"Канал";"N/A";"15 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/daystartup";"https://tgstat.ru/channel/@daystartup";""
"1303";"6 891";"solncevo2";"Канал";"N/A";"18 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/solncevo2";"https://tgstat.ru/channel/@solncevo2";""
"1304";"6 886";"goldenduck_biz";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/goldenduck_biz";"https://tgstat.ru/channel/@goldenduck_biz";""
"1305";"6 884";"iGaming_red";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/iGaming_red";"https://tgstat.ru/channel/@iGaming_red";""
"1306";"6 883";"avitorussla";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/avitorussla";"https://tgstat.ru/channel/@avitorussla";""
"1307";"6 882";"dcTa4rSJ1r9iMGRi";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/dcTa4rSJ1r9iMGRi";"https://tgstat.ru/channel/dcTa4rSJ1r9iMGRi";""
"1308";"6 875";"emertnotes";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/emertnotes";"https://tgstat.ru/channel/@emertnotes";""
"1309";"6 864";"K6SwRyU1tjpmODZi";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/K6SwRyU1tjpmODZi";"https://tgstat.ru/channel/K6SwRyU1tjpmODZi";""
"1310";"6 862";"abEsK4wN-E45NDMy";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/abEsK4wN-E45NDMy";"https://tgstat.ru/channel/abEsK4wN-E45NDMy";""
"1311";"6 862";"annkuks";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/annkuks";"https://tgstat.ru/channel/@annkuks";""
"1312";"6 861";"Ipsos_in_Russia";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Ipsos_in_Russia";"https://tgstat.ru/channel/@Ipsos_in_Russia";""
"1313";"6 857";"DaniyaTkacheva";"Канал";"N/A";"51 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/DaniyaTkacheva";"https://tgstat.ru/channel/@DaniyaTkacheva";""
"1314";"6 851";"l1YX2-XNkGBkYzhi";"Канал";"N/A";"65 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/l1YX2-XNkGBkYzhi";"https://tgstat.ru/channel/l1YX2-XNkGBkYzhi";""
"1315";"6 847";"nicole_brfo";"Канал";"N/A";"23 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nicole_brfo";"https://tgstat.ru/channel/@nicole_brfo";""
"1316";"6 847";"pptrf_ru";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/pptrf_ru";"https://tgstat.ru/channel/@pptrf_ru";""
"1317";"6 841";"pwsups";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/pwsups";"https://tgstat.ru/channel/@pwsups";""
"1318";"6 830";"egor_bulygin";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/egor_bulygin";"https://tgstat.ru/channel/@egor_bulygin";""
"1319";"6 828";"Project_Best_Speakers";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Project_Best_Speakers";"https://tgstat.ru/channel/@Project_Best_Speakers";""
"1320";"6 826";"VladSavin";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/VladSavin";"https://tgstat.ru/channel/@VladSavin";""
"1321";"6 820";"ofd_ru";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ofd_ru";"https://tgstat.ru/channel/@ofd_ru";""
"1322";"6 817";"rabota_berdskz";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rabota_berdskz";"https://tgstat.ru/channel/@rabota_berdskz";""
"1323";"6 816";"Gvintovkin";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Gvintovkin";"https://tgstat.ru/channel/@Gvintovkin";""
"1324";"6 816";"Zarabotok_v_internete72";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Zarabotok_v_internete72";"https://tgstat.ru/channel/@Zarabotok_v_internete72";""
"1325";"6 806";"tigranwb";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tigranwb";"https://tgstat.ru/channel/@tigranwb";""
"1326";"6 800";"moskvakakdaela";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/moskvakakdaela";"https://tgstat.ru/channel/@moskvakakdaela";""
"1327";"6 796";"AZO_channel";"Канал";"N/A";"25 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/AZO_channel";"https://tgstat.ru/channel/@AZO_channel";""
"1328";"6 794";"blogalekseym";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/blogalekseym";"https://tgstat.ru/channel/@blogalekseym";""
"1329";"6 793";"nekrasoffDROPP";"Канал";"N/A";"17 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nekrasoffDROPP";"https://tgstat.ru/channel/@nekrasoffDROPP";""
"1330";"6 768";"lemmagroup";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/lemmagroup";"https://tgstat.ru/channel/@lemmagroup";""
"1331";"6 763";"club_torgi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/club_torgi";"https://tgstat.ru/channel/@club_torgi";""
"1332";"6 755";"ekaterinaarsentevanalog";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ekaterinaarsentevanalog";"https://tgstat.ru/channel/@ekaterinaarsentevanalog";""
"1333";"6 749";"3JyNflpKTT4yMGMy";"Канал";"N/A";"17 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/3JyNflpKTT4yMGMy";"https://tgstat.ru/channel/3JyNflpKTT4yMGMy";""
"1334";"6 739";"iamasadulla";"Канал";"N/A";"1 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/iamasadulla";"https://tgstat.ru/channel/@iamasadulla";""
"1335";"6 735";"Irina_onlain_dohod";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Irina_onlain_dohod";"https://tgstat.ru/channel/@Irina_onlain_dohod";""
"1336";"6 733";"owner_projects";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/owner_projects";"https://tgstat.ru/channel/@owner_projects";""
"1337";"6 732";"natashhhh";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/natashhhh";"https://tgstat.ru/channel/@natashhhh";""
"1338";"6 727";"BusinessParadox";"Канал";"N/A";"51 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BusinessParadox";"https://tgstat.ru/channel/@BusinessParadox";""
"1339";"6 726";"katrinka_nova_dd";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/katrinka_nova_dd";"https://tgstat.ru/channel/@katrinka_nova_dd";""
"1340";"6 720";"qo3HR3_INLdmYjgy";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/qo3HR3_INLdmYjgy";"https://tgstat.ru/channel/qo3HR3_INLdmYjgy";""
"1341";"6 719";"HR_Perezagruzka";"Канал";"N/A";"12 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/HR_Perezagruzka";"https://tgstat.ru/channel/@HR_Perezagruzka";""
"1342";"6 715";"feerique_events";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/feerique_events";"https://tgstat.ru/channel/@feerique_events";""
"1343";"6 713";"paveldum";"Канал";"N/A";"28 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/paveldum";"https://tgstat.ru/channel/@paveldum";""
"1344";"6 710";"indi_moscow1";"Канал";"N/A";"50 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/indi_moscow1";"https://tgstat.ru/channel/@indi_moscow1";""
"1345";"6 704";"homeindubai";"Канал";"N/A";"1 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/homeindubai";"https://tgstat.ru/channel/@homeindubai";""
"1346";"6 703";"wefoundway";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wefoundway";"https://tgstat.ru/channel/@wefoundway";""
"1347";"6 697";"chinioptom";"Канал";"N/A";"86 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/chinioptom";"https://tgstat.ru/channel/@chinioptom";""
"1348";"6 682";"relohub_dn";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/relohub_dn";"https://tgstat.ru/channel/@relohub_dn";""
"1349";"6 680";"mantera_supreme";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mantera_supreme";"https://tgstat.ru/channel/@mantera_supreme";""
"1350";"6 680";"FI_sovetnik";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/FI_sovetnik";"https://tgstat.ru/channel/@FI_sovetnik";""
"1351";"6 676";"hello_setka";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/hello_setka";"https://tgstat.ru/channel/@hello_setka";""
"1352";"6 675";"expert275";"Канал";"N/A";"1 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/expert275";"https://tgstat.ru/channel/@expert275";""
"1353";"6 668";"OjAvfRdZZk1hMDBi";"Канал";"N/A";"44 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/OjAvfRdZZk1hMDBi";"https://tgstat.ru/channel/OjAvfRdZZk1hMDBi";""
"1354";"6 667";"expert_pugacheva";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/expert_pugacheva";"https://tgstat.ru/channel/@expert_pugacheva";""
"1355";"6 660";"sheinnin";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sheinnin";"https://tgstat.ru/channel/@sheinnin";""
"1356";"6 660";"lariz_finance";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/lariz_finance";"https://tgstat.ru/channel/@lariz_finance";""
"1357";"6 655";"brand_sobranka";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/brand_sobranka";"https://tgstat.ru/channel/@brand_sobranka";""
"1358";"6 655";"zapiskiceo";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/zapiskiceo";"https://tgstat.ru/channel/@zapiskiceo";""
"1359";"6 650";"trendagent_krd";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/trendagent_krd";"https://tgstat.ru/channel/@trendagent_krd";""
"1360";"6 646";"kvs_life";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kvs_life";"https://tgstat.ru/channel/@kvs_life";""
"1361";"6 642";"novolaser_clinic";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/novolaser_clinic";"https://tgstat.ru/channel/@novolaser_clinic";""
"1362";"6 641";"russpass_business";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/russpass_business";"https://tgstat.ru/channel/@russpass_business";""
"1363";"6 637";"stc_vesti";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/stc_vesti";"https://tgstat.ru/channel/@stc_vesti";""
"1364";"6 636";"welcometo500";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/welcometo500";"https://tgstat.ru/channel/@welcometo500";""
"1365";"6 618";"olegnevorotov";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/olegnevorotov";"https://tgstat.ru/channel/@olegnevorotov";""
"1366";"6 614";"AIenaKorolewaG";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/AIenaKorolewaG";"https://tgstat.ru/channel/@AIenaKorolewaG";""
"1367";"6 613";"pokatakbudet";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/pokatakbudet";"https://tgstat.ru/channel/@pokatakbudet";""
"1368";"6 604";"events_bitrix24";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/events_bitrix24";"https://tgstat.ru/channel/@events_bitrix24";""
"1369";"6 601";"varka_business";"Канал";"N/A";"25 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/varka_business";"https://tgstat.ru/channel/@varka_business";""
"1370";"6 594";"tVlHQnZ15LRiOTgy";"Канал";"N/A";"22 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tVlHQnZ15LRiOTgy";"https://tgstat.ru/channel/tVlHQnZ15LRiOTgy";""
"1371";"6 593";"ekimovskih";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ekimovskih";"https://tgstat.ru/channel/@ekimovskih";""
"1372";"6 585";"rumiantseva_pro_zemli";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rumiantseva_pro_zemli";"https://tgstat.ru/channel/@rumiantseva_pro_zemli";""
"1373";"6 581";"marathon3_news";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/marathon3_news";"https://tgstat.ru/channel/@marathon3_news";""
"1374";"6 578";"alotofmoneyfromweb";"Канал";"N/A";"25 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/alotofmoneyfromweb";"https://tgstat.ru/channel/@alotofmoneyfromweb";""
"1375";"6 577";"BA2qcY3ucbYyOTAy";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BA2qcY3ucbYyOTAy";"https://tgstat.ru/channel/BA2qcY3ucbYyOTAy";""
"1376";"6 567";"milllerHub";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/milllerHub";"https://tgstat.ru/channel/@milllerHub";""
"1377";"6 567";"elonmuskcom";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/elonmuskcom";"https://tgstat.ru/channel/@elonmuskcom";""
"1378";"6 566";"9InN3DPSbhY2ZDVi";"Канал";"N/A";"29 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/9InN3DPSbhY2ZDVi";"https://tgstat.ru/channel/9InN3DPSbhY2ZDVi";""
"1379";"6 562";"AAAAAFWYyhSP7U4pre00vg";"Канал";"N/A";"53 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/AAAAAFWYyhSP7U4pre00vg";"https://tgstat.ru/channel/AAAAAFWYyhSP7U4pre00vg";""
"1380";"6 561";"video4it";"Канал";"N/A";"28 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/video4it";"https://tgstat.ru/channel/@video4it";""
"1381";"6 556";"smarent_arenda";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/smarent_arenda";"https://tgstat.ru/channel/@smarent_arenda";""
"1382";"6 555";"albankykt";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/albankykt";"https://tgstat.ru/channel/@albankykt";""
"1383";"6 553";"wrldwide";"Канал";"N/A";"15 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wrldwide";"https://tgstat.ru/channel/@wrldwide";""
"1384";"6 549";"FinamPremium";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/FinamPremium";"https://tgstat.ru/channel/@FinamPremium";""
"1385";"6 546";"colleagues_ceh";"Канал";"N/A";"14 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/colleagues_ceh";"https://tgstat.ru/channel/@colleagues_ceh";""
"1386";"6 530";"bazy_kontaktov_lpr";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bazy_kontaktov_lpr";"https://tgstat.ru/channel/@bazy_kontaktov_lpr";""
"1387";"6 529";"ruslanlearns";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ruslanlearns";"https://tgstat.ru/channel/@ruslanlearns";""
"1388";"6 527";"yashalashov";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/yashalashov";"https://tgstat.ru/channel/@yashalashov";""
"1389";"6 508";"VoronovaEk";"Канал";"N/A";"77 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/VoronovaEk";"https://tgstat.ru/channel/@VoronovaEk";""
"1390";"6 508";"ismamustabirov";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ismamustabirov";"https://tgstat.ru/channel/@ismamustabirov";""
"1391";"6 505";"startupblackwhite";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/startupblackwhite";"https://tgstat.ru/channel/@startupblackwhite";""
"1392";"6 494";"suvorovbrat";"Канал";"N/A";"26 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/suvorovbrat";"https://tgstat.ru/channel/@suvorovbrat";""
"1393";"6 490";"Wallet_business";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Wallet_business";"https://tgstat.ru/channel/@Wallet_business";""
"1394";"6 487";"bymorozow";"Канал";"N/A";"53 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bymorozow";"https://tgstat.ru/channel/@bymorozow";""
"1395";"6 476";"bvevvs";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bvevvs";"https://tgstat.ru/channel/@bvevvs";""
"1396";"6 476";"marketplace_novosti";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/marketplace_novosti";"https://tgstat.ru/channel/@marketplace_novosti";""
"1397";"6 475";"rbi_news";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rbi_news";"https://tgstat.ru/channel/@rbi_news";""
"1398";"6 471";"dnevniksbor";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/dnevniksbor";"https://tgstat.ru/channel/@dnevniksbor";""
"1399";"6 470";"o2c13I8o5dthYjcy";"Канал";"N/A";"21 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/o2c13I8o5dthYjcy";"https://tgstat.ru/channel/o2c13I8o5dthYjcy";""
"1400";"6 468";"strategiruj";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/strategiruj";"https://tgstat.ru/channel/@strategiruj";""
"1401";"6 465";"chinaviktoria";"Канал";"N/A";"27 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/chinaviktoria";"https://tgstat.ru/channel/@chinaviktoria";""
"1402";"6 452";"rosnanoinfo";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rosnanoinfo";"https://tgstat.ru/channel/@rosnanoinfo";""
"1403";"6 451";"iknowbiz";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/iknowbiz";"https://tgstat.ru/channel/@iknowbiz";""
"1404";"6 448";"4Pm37UVZkgYwNDdi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/4Pm37UVZkgYwNDdi";"https://tgstat.ru/channel/4Pm37UVZkgYwNDdi";""
"1405";"6 439";"stratlead";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/stratlead";"https://tgstat.ru/channel/@stratlead";""
"1406";"6 436";"saasstuff";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/saasstuff";"https://tgstat.ru/channel/@saasstuff";""
"1407";"6 435";"MIpulse";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/MIpulse";"https://tgstat.ru/channel/@MIpulse";""
"1408";"6 432";"Inventive_Retail_Group";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Inventive_Retail_Group";"https://tgstat.ru/channel/@Inventive_Retail_Group";""
"1409";"6 425";"ksu_china";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ksu_china";"https://tgstat.ru/channel/@ksu_china";""
"1410";"6 425";"mansurpodkast";"Канал";"N/A";"26 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mansurpodkast";"https://tgstat.ru/channel/@mansurpodkast";""
"1411";"6 408";"akuliabuhta";"Канал";"N/A";"11 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/akuliabuhta";"https://tgstat.ru/channel/@akuliabuhta";""
"1412";"6 407";"business59perm";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/business59perm";"https://tgstat.ru/channel/@business59perm";""
"1413";"6 404";"solodovnikovZ";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/solodovnikovZ";"https://tgstat.ru/channel/@solodovnikovZ";""
"1414";"6 403";"startuprollercoaster";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/startuprollercoaster";"https://tgstat.ru/channel/@startuprollercoaster";""
"1415";"6 400";"GrzzqW5WtPM4YjU6";"Канал";"N/A";"56 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/GrzzqW5WtPM4YjU6";"https://tgstat.ru/channel/GrzzqW5WtPM4YjU6";""
"1416";"6 396";"About_Busines";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/About_Busines";"https://tgstat.ru/channel/@About_Busines";""
"1417";"6 395";"imena_kostroma";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/imena_kostroma";"https://tgstat.ru/channel/@imena_kostroma";""
"1418";"6 395";"SIT_Russia";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/SIT_Russia";"https://tgstat.ru/channel/@SIT_Russia";""
"1419";"6 395";"evrazcom";"Канал";"N/A";"29 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/evrazcom";"https://tgstat.ru/channel/@evrazcom";""
"1420";"6 378";"Black_Economics";"Канал";"N/A";"56 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Black_Economics";"https://tgstat.ru/channel/@Black_Economics";""
"1421";"6 378";"dom_pred_fpp_rt";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/dom_pred_fpp_rt";"https://tgstat.ru/channel/@dom_pred_fpp_rt";""
"1422";"6 372";"wowcareer";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wowcareer";"https://tgstat.ru/channel/@wowcareer";""
"1423";"6 370";"suetanawb";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/suetanawb";"https://tgstat.ru/channel/@suetanawb";""
"1424";"6 365";"nastavnikpro77";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nastavnikpro77";"https://tgstat.ru/channel/@nastavnikpro77";""
"1425";"6 357";"Lr5jEmGyJTUwY2Q0";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Lr5jEmGyJTUwY2Q0";"https://tgstat.ru/channel/Lr5jEmGyJTUwY2Q0";""
